ANO;TRIMESTRE;RAZAO_SOCIAL;NOME_FANTASIA;CNPJ;PORTE;DATA_INICIO_OPERACAO;SITUACAO;ATIVIDADE;CEP;UF;LOCALIDADE;BAIRRO;LOGRADOURO;DATA_GERACAO_CERTIFICADO;DATA_VALIDADE_CERTIFICADO;CODIGO_CERTIFICADO;CODIGO_DESCRICAO_CNAE;NATUREZA_JURIDICA
2021;1;LUCIANA MASCIMA KAUFMANN;OPARA;04.845.044/0001-73;MICROEMPRESA;21/12/2001;Em Operação;Restaurante, Cafeteria, Bar e Similares;54505-000;PE;Cabo de Santo Agostinho;Centro;BR-101 Sul;23/08/2019 07:41;23/08/2021 07:41;04.845.044/0001-73;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;POUSADA ZE MARIA LTDA;POUSADA ZE MARIA ;04.938.406/0001-70;DEMAIS;22/02/2002;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;RUA NICE CORDEIRO;05/03/2021 12:24;05/03/2023 12:24;04.938.406/0001-70;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;LAZAR COMERCIO DE ALIMENTOS E SERVICOS HOTELEIROS LTDA;RESTAURANTE CANGACEIRO;05.251.879/0002-49;MICROEMPRESA;22/01/2003;Em Operação;Restaurante, Cafeteria, Bar e Similares;56304-360;PE;Petrolina;Centro;das Nações;23/02/2021 11:14;23/02/2023 11:14;05.251.879/0002-49;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;BARRETO BROS LTDA;MUGANGA BISTRO;05.299.358/0001-80;MICROEMPRESA;25/09/2002;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;av beira mar;11/05/2020 09:34;11/05/2022 09:34;05.299.358/0001-80;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;GRUPO DE AMIGOS BAR E RESTAURANTE LTDA;ENTRE AMIGOS O BODE;05.550.261/0001-07;EMPRESA DE PEQUENO PORTE;19/03/2003;Em Operação;Restaurante, Cafeteria, Bar e Similares;52020-015;PE;Recife;Espinheiro;da Hora,695;04/08/2020 14:56;04/08/2022 14:56;05.550.261/0001-07;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;RANNIERE DE QUEIROZ BEZERRA;RESTAURANTE JATAUBENSE;05.751.833/0001-08;MICROEMPRESA;02/07/2003;Em Operação;Restaurante, Cafeteria, Bar e Similares;55180-000;PE;Jataúba; - ;Avenida José Lopes de Siqueira;01/11/2019 12:49;01/11/2021 12:49;05.751.833/0001-08;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;MARIA HELENA DA SILVA - PETISCOS;BAR DO MEIO;05.840.900/0001-60;MICROEMPRESA;12/12/2002;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;Travessa da Alamoa, 130, Conceição;31/07/2020 13:51;31/07/2022 13:51;05.840.900/0001-60;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;JPLL COMERCIO DE ALIMENTOS LTDA;BERCY VILLAGE;05.994.622/0003-68;EMPRESA DE PEQUENO PORTE;10/12/2008;Em Operação;Restaurante, Cafeteria, Bar e Similares;51020-160;PE;Recife;Boa Viagem;Professor Ruy Baptista;24/03/2021 07:01;24/03/2023 07:01;05.994.622/0003-68;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;LA PLAGE COMERCIO DE ALIMENTOS LTDA;BERCY VILLAGE;06.139.033/0001-01;EMPRESA DE PEQUENO PORTE;11/03/2004;Em Operação;Restaurante, Cafeteria, Bar e Similares;52060-210;PE;Recife;Parnamirim;Estrada do Encanamento;24/03/2021 07:02;24/03/2023 07:02;06.139.033/0001-01;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;MAZOMBOS HOTEIS E TURISMO LTDA;BANGALOS DO GAMELEIRO;07.045.025/0001-50;EMPRESA DE PEQUENO PORTE;24/08/2004;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;V LITORANEA DOS CARNEIROS;05/01/2021 11:29;05/01/2023 11:29;07.045.025/0001-50;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;ROUILLER & VARGAS LTDA;POUSADA MARACABANA;07.184.444/0001-73;MICROEMPRESA;24/01/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;avenida beira mar 254;11/05/2020 09:23;11/05/2022 09:23;07.184.444/0001-73;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;VALTER BEZERRA DE VASCONCELOS;POUSADA E RESTAURANTE REI DO CALDO;07.246.582/0001-30;MICROEMPRESA;24/02/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;56870-000;PE;Triunfo; - ;R. Jorn. Sigismundo Pinto;27/01/2021 15:19;27/01/2023 15:19;07.246.582/0001-30;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;B.B. CARNEIROS EMPREENDIMENTOS TURISTICOS EIRELI;B B CARNEIROS EMPREENDIMENTOS TURISTICOS;07.432.640/0001-10;EMPRESA DE PEQUENO PORTE;24/05/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;SITIO DO ROSARIO SN;18/06/2020 08:26;18/06/2022 08:26;07.432.640/0001-10;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;GEORGE MAGNO VIANA CRUZ BURGUER;PAPO BURGUER;07.533.246/0001-78;EMPRESA DE PEQUENO PORTE;14/07/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;56870-000;PE;Triunfo; - ;Av. Olavo Gomes de Oliveira, 281;17/02/2021 11:31;17/02/2023 11:31;07.533.246/0001-78;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Empresário (Individual)
2021;1;RESTAURANTE JARDINS LTDA;RESTAURANTE JARDINS;07.553.442/0001-04;EMPRESA DE PEQUENO PORTE;24/08/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;51111-050;PE;Recife;Boa Viagem;Aviador Severiano Lins;22/01/2021 16:39;22/01/2023 16:39;07.553.442/0001-04;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;CARNEIROS OPERADORES TURISTICOS EIRELI;RESTAURANTE ARIKINDÁ;07.709.250/0001-44;MICROEMPRESA;18/11/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré;São José Operário;Sem Logradouro;25/01/2021 15:02;25/01/2023 15:02;07.709.250/0001-44;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;LUNA E RIBEIRO POUSADA E LOCACAO LTDA;LUNA E RIBEIRO POUSADA E LOCACAO LTDA;07.906.792/0001-07;MICROEMPRESA;16/03/2006;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;R ALAMEDA DA HARMONIA;02/12/2020 10:19;02/12/2022 10:19;07.906.792/0001-07;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;JOSE ELOI DE SANTANA;BAR DO RIO;08.309.416/0001-06;MICROEMPRESA;22/09/2006;Em Operação;Restaurante, Cafeteria, Bar e Similares;54590-000;PE;Santo Agostinho; - ;RUA DA COCAIA;15/06/2020 14:47;15/06/2022 14:47;08.309.416/0001-06;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;BARCAXEIRA RESTAURANTE LTDA;BARCAXEIRA;08.355.680/0001-78;MICROEMPRESA;25/09/2006;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Nossa Senhora do Ó; - ;Rua Principal, 458;12/08/2020 06:22;12/08/2022 06:22;08.355.680/0001-78;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;DEGUTTI RESTAURANTE E CAFE LTDA;DEGUTTI;08.600.426/0001-98;MICROEMPRESA;11/01/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;Av José Bezerra Sobrinho 200;23/07/2019 16:25;23/07/2021 16:25;08.600.426/0001-98;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;VILLA COMERCIO DE ALIMENTOS LTDA;VILLA COZINHA DE BISTRO;08.602.360/0001-75;EMPRESA DE PEQUENO PORTE;10/01/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;50110-000;PE;Recife;Santo Amaro;Governador Agamenon Magalhães, 153;24/03/2021 09:57;24/03/2023 09:57;08.602.360/0001-75;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;M & E DALCIN LTDA;HOTEL E CHURRASCARIA GAÚCHA;08.989.088/0001-28;MICROEMPRESA;23/07/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;56395-000;PE;Lagoa Grande; - ;Sem Logradouro;03/10/2019 11:19;03/10/2021 11:19;08.989.088/0001-28;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;AJ ECOTUR LTDA;MANGUEZAL ECOTURISMO;09.006.247/0001-90;MICROEMPRESA;15/08/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;rua raul de  pompeia  s n   lote 5 A e B;01/07/2019 15:19;01/07/2021 15:19;09.006.247/0001-90;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;ADRIANO BATISTA BRANDAO ARAUJO;Restaurante e Pizzaria Chapéu de Palha;09.246.834/0001-56;MICROEMPRESA;06/12/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;55641-020;PE;Gravatá;Gravatá Centro;Praça Pedro Joaquim de Souza (Praça 10), 82 ;19/03/2019 08:02;19/03/2021 08:02;09.246.834/0001-56;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Empresário (Individual)
2021;1;F DIAS ROCHA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI;EMPORIO VO RITA - COMEDORIA;09.457.718/0001-86;EMPRESA DE PEQUENO PORTE;01/04/2008;Em Operação;Restaurante, Cafeteria, Bar e Similares;50730-630;PE;Recife;Engenho do Meio;Engenheiro Barros Lins;05/08/2020 08:29;05/08/2022 08:29;09.457.718/0001-86;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;HOTEL CASTELO DO MONTE EIRELI;HOTEL FAZENDA MONTE CASTELO;09.537.768/0001-73;MICROEMPRESA;28/03/2008;Em Operação;Restaurante, Cafeteria, Bar e Similares;55695-000;PE;Sairé; - ;BR 232 KM92;28/01/2021 11:42;28/01/2023 11:42;09.537.768/0001-73;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;HOTELARIA ACCOR BRASIL S/A;IBIS PETROLINA;09.967.852/0162-01;DEMAIS;14/02/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;56304-190;PE;Petrolina;Centro;Presidente Tancredo Neves;23/06/2020 09:54;23/06/2022 09:54;09.967.852/0162-01;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Anônima Fechada
2021;1;CAIO MEDEIROS BEZERRA LANCHONETE;SORVETERIA MILK SHAKE;10.202.818/0001-40;MICROEMPRESA;01/07/2008;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;Rua da esperança;11/05/2020 11:11;11/05/2022 11:11;10.202.818/0001-40;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Empresário (Individual)
2021;1;RESTAURANTE FAMILIA DA CABIDELA LTDA;FAMILIA EUDES DA CABIDELA;10.559.061/0001-47;MICROEMPRESA;30/12/2008;Em Operação;Restaurante, Cafeteria, Bar e Similares;55642-210;PE;Gravatá;Prado;Avenida Governador Agamenon Magalhães, 270;27/03/2019 15:16;27/03/2021 15:16;10.559.061/0001-47;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;DOCA BAR E PASSEIOS NAUTICOS LTDA;ALQUIMISTA II;10.612.730/0001-05;MICROEMPRESA;16/01/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;Estrada da Alamoa ;16/06/2020 07:23;16/06/2022 07:23;10.612.730/0001-05;5611-2/05 - BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO.;Sociedade Empresária Limitada
2021;1;GAMATUR LTDA;HOTEL COSTEIRO;10.617.553/0001-41;EMPRESA DE PEQUENO PORTE;25/04/1986;Em Operação;Restaurante, Cafeteria, Bar e Similares;53030-000;PE;Olinda;Bairro Novo;Ministro Marcos Freire;17/09/2020 09:26;17/09/2022 09:26;10.617.553/0001-41;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;E J DE ANDRADE RESTAURANTE;A VARANDA PETISCARIA;10.719.214/0001-76;MICROEMPRESA;13/03/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;Rua São José ;17/03/2021 07:54;17/03/2023 07:54;10.719.214/0001-76;5611-2/01 - RESTAURANTES E SIMILARES;Empresário Individual
2021;1;HOTEL FAZENDA MONTE CRISTO LTDA;HOTEL FAZENDA CEU ABERTO;10.895.853/0001-92;MICROEMPRESA;16/06/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;55641-970;PE;Sítio da Baraúna;Nossa Senhora das Graças;Praça Padre Rodolfo de Moraes Moreira, s/n;04/08/2020 16:53;04/08/2022 16:53;10.895.853/0001-92;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;MARIA EMILIA DENZELER GENTILE;TEMAKERIA DO PORTO;10.946.213/0001-64;MICROEMPRESA;07/07/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;Rua Beijupira s/n Porto de Galinhas;06/06/2020 16:21;06/06/2022 16:21;10.946.213/0001-64;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Empresário (Individual)
2021;1;DOM ALIMENTOS E RESTAURANTES LTDA;DOM FERREIRA;11.060.595/0001-97;MICROEMPRESA;17/08/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;51021-040;PE;Recife;Boa Viagem;Engenheiro Domingos Ferreira;22/01/2021 16:40;22/01/2023 16:40;11.060.595/0001-97;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;A J DO NASCIMENTO RESTAURANTE;RESTAURANTE E POUSADA PANELA DE BARRO;11.200.049/0001-04;MICROEMPRESA;28/09/2009;Em Operação;Restaurante, Cafeteria, Bar e Similares;56800-000;PE;Afogados da Ingazeira; - ;Sobreira;03/05/2019 10:36;03/05/2021 10:36;11.200.049/0001-04;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;CAMARAO DA ILHA COMERCIO DE CRUSTACEOS E PESCADOS LTDA;O REI DO CAMARAO DA ILHA;11.697.382/0001-70;MICROEMPRESA;17/03/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;Rua consolação;06/05/2020 14:49;06/05/2022 14:49;11.697.382/0001-70;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;D & A EMPREENDIMENTOS GASTRONOMICOS LTDA;Restaurante Bejupirá;11.873.144/0001-79;EMPRESA DE PEQUENO PORTE;23/04/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;53025-080;PE;Olinda;Amparo;do Amparo, 148 - Carmo;08/06/2020 12:09;08/06/2022 12:09;11.873.144/0001-79;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;ANGELINA MARIA DE MOURA RABELO 59931302453;Nenem Lanches;11.894.176/0001-50;MICROEMPRESA;04/05/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;56840-000;PE;Iguaraci; - ;RUA BENEDITO PERAZZO BARBOSA ;10/05/2019 10:24;10/05/2021 10:24;11.894.176/0001-50;5611-2/01 - RESTAURANTES E SIMILARES;Empresário Individual
2021;1;VILA BELA PRODUTOS DE PADARIA E CONFEITARIA LTDA;VILA BELA DELICATESSEN;11.998.184/0001-47;MICROEMPRESA;10/03/1987;Em Operação;Restaurante, Cafeteria, Bar e Similares;56912-260;PE;Serra Talhada;AABB;Osvaldo de Godoy Lima;22/02/2021 11:55;22/02/2023 11:55;11.998.184/0001-47;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;CAMILA FERNANDES ANTAS FLORENTINO;PAPO PIZZA;12.155.556/0001-36;EMPRESA DE PEQUENO PORTE;04/07/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;56870-000;PE;Triunfo; - ;Av. Olavo Gomes de Oliveira, 281;17/02/2021 11:12;17/02/2023 11:12;12.155.556/0001-36;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;GDQ COMERCIO DE ALIMENTOS EIRELI;BERCY VILLAGE;12.156.589/0001-09;EMPRESA DE PEQUENO PORTE;30/06/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;52050-217;PE; - ;Graças;Capitão Sampaio Xavier;24/03/2021 09:56;24/03/2023 09:56;12.156.589/0001-09;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;VILMA MARIA ANDRADE;QUIOSQUE ESTACAO DO SOL;12.285.195/0001-42;MICROEMPRESA;14/07/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;Rua João Salgado PImentel - SN;25/06/2020 17:22;25/06/2022 17:22;12.285.195/0001-42;5611-2/01 - RESTAURANTES E SIMILARES;Empresário Individual
2021;1;ERNESTO FRANCISCO NUNES FURTADO;RESTAURANTE DO ERNESTO;12.548.577/0001-11;MICROEMPRESA;18/09/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;56909-380;PE;Serra Talhada;Nossa Senhora de Fátima;João Romão de Oliveira;25/02/2021 12:31;25/02/2023 12:31;12.548.577/0001-11;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;RESTAURANTE POINT DO CHOPP LTDA;TURISMARCA;12.966.683/0001-15;MICROEMPRESA;29/11/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;AVENIDA SÃO JOSÉ ;29/05/2020 07:58;29/05/2022 07:58;12.966.683/0001-15;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;CASARAO CAFETERIA BAR LTDA;CASARAO CAFETERIA BAR;12.999.894/0001-54;MICROEMPRESA;09/12/2010;Em Operação;Restaurante, Cafeteria, Bar e Similares;56870-000;PE;Triunfo;Vila Maria (Bonfim);Praça Monsenhor Eliseu Diniz n° 02;03/04/2019 10:51;03/04/2021 10:51;12.999.894/0001-54;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;RESTAURANTE MUSTAKO LTDA;RESTAURANTE MUSTAKO;13.517.937/0001-80;MICROEMPRESA;14/04/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;55578-000;PE;Tamandaré; - ;PRAIA DOS CARNEIROS;20/09/2019 07:11;20/09/2021 07:11;13.517.937/0001-80;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;GUSTARE COMERCIO E SERVICOS DE ALIMENTACAO PARA EVENTOS - EIRELI;GUSTARE;13.764.538/0001-14;EMPRESA DE PEQUENO PORTE;01/06/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;50830-390;PE;Recife;Afogados;Major Justino da Silveira;28/01/2021 11:20;28/01/2023 11:20;13.764.538/0001-14;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;MARLY MORAES DE OLIVEIRA;Restaurante Buraco da Gia;13.932.615/0001-06;MICROEMPRESA;04/07/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;55900-000;PE;Goiana; - ;Rua Padre Batalha;26/11/2019 15:33;26/11/2021 15:33;13.932.615/0001-06;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;BERA D'AGUA RESTAURANTE E EVENTOS LTDA;BERA D'AGUA RESTAURANTE;14.280.156/0001-88;MICROEMPRESA;31/08/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;56308-225;PE;Petrolina;Atrás da Banca;José Theodomiro Araújo;12/09/2019 13:09;12/09/2021 13:09;14.280.156/0001-88;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;C A E - SERVICOS GASTRONOMICOS E EVENTOS LTDA;C A E  - SERVIÇOS E EVENTOS;14.376.253/0001-79;EMPRESA DE PEQUENO PORTE;13/09/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;56304-610;PE;Petrolina;Centro;Olímpio Virgílio;25/07/2019 08:33;25/07/2021 08:33;14.376.253/0001-79;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;BRUNA TIMES REFEICOES EIRELI;JOAO RESTAURANTE;14.456.174/0001-78;MICROEMPRESA;13/10/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;55590-000;PE;Ipojuca; - ;Av. beira mar, 01, casa 01;12/05/2020 08:51;12/05/2022 08:51;14.456.174/0001-78;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;F.P.R RESTAURANTE LTDA;VILLA SANDINO RESTAURANTE;14.874.954/0001-38;DEMAIS;04/01/2012;Em Operação;Restaurante, Cafeteria, Bar e Similares;52020-190;PE;Recife;Espinheiro;Nicarágua;22/07/2020 13:08;22/07/2022 13:08;14.874.954/0001-38;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;SANTOS & BEZERRA PASSEIOS TURISTICOS LTDA;EVA WILMA;15.128.893/0001-22;MICROEMPRESA;02/03/2012;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;TRAVESSA DA CONSOLAÇÃO 1, 656;20/04/2021 11:29;20/04/2023 11:29;15.128.893/0001-22;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
